package,count
ascentTraining,8476
ascii,21226
asciicast,26569
asciichartr,2873
asciiruler,2512
asciiSetupReader,6861
ascotraceR,3760
asd,4245
asdreader,3613
ASGS.foyer,4138
ash,199870
ashapesampler,2457
ashr,49350
asht,14216
AsioHeaders,307316
askgpt,4490
askpass,8369126
aslib,3994
asm,4880
ASMap,7615
ASMbook,1289
asmbPLS,3108
asnipe,12138
aspace,10128
aspect,5624
aspi,2542
aspline,3142
aSPU,5511
asremlPlus,13406
ASRgenomics,7568
ASSA,4046
assert,4162
assertable,6308
assertions,5907
assertr,23581
assertthat,2369976
assessor,2668
AssetPricing,4579
assignPOP,5857
assignR,6163
assist,6274
ASSISTant,4238
AssocBin,2220
assocInd,2638
assortnet,5271
AST,2559
aster,9322
aster2,6480
asteRisk,5357
AsthmaNHANES,2705
astrochron,8553
astroFns,4671
astsa,109710
asus,8130
ASV,3764
AsyK,3683
asylum,10283
asymLD,2499
AsymmetricSORDs,3167
asymmetry,5729
asymmetry.measures,3147
asympTest,3191
asymptor,3550
AsynchLong,5544
ata,4119
atable,5981
ATAforecasting,7598
atakrig,3872
ATbounds,3113
ATE.ERROR,808
AteMeVs,2587
atime,10155
atlas,2808
atlasapprox,1151
AtlasMaker,2602
AtmChile,4774
atmopt,2451
ATNr,3779
atom4R,7798
atpolR,3267
ATQ,1455
ATR,10630
atRisk,2852
atrrr,3750
aTSA,98249
attachment,35226
attempt,78343
attention,6847
attenuation,2612
attrib,10186
AUC,35282
auctestr,2754
auctionr,2426
audio,110869
audiometry,3333
audit,3042
auditor,16631
audrex,3404
audubon,7939
augmentedRCBD,15466
augSIMEX,3574
auk,9073
aum,6403
AurieLSHGaussian,6894
auRoc,3190
ausplotsR,5923
AustralianPoliticians,3467
AUtests,2834
auth0,6261
auto.pca,2761
AutoAds,2612
autoBagging,2635
autocogs,13503
autoCovariateSelection,3649
AutoDeskR,3367
autoEnsemble,3066
autoFC,3671
autoFRK,4469
autogam,673
autoGO,2972
autoharp,4212
autohrf,3841
autoimage,7493
autokeras,3173
automagic,5427
automap,37101
autometric,4472
automl,4399
autoMrP,4844
autonewsmd,5625
AutoPipe,2876
Autoplotprotein,2549
AutoPlots,4960
autoReg,19882
AutoregressionMDE,2451
AutoScore,4872
autoScorecard,2908
Autoseed,2570
autoshiny,3150
autoslider.core,453
autostats,3569
AutoStepwiseGLM,2597
autostsm,10591
autothresholdr,15540
AutoTransQF,2540
autoTS,2980
autovi,3657
AutoWeatherIndices,2690
AutoWMM,1161
AuxSurvey,321
av,93940
available,11840
avar,3512
averisk,3151
avesperu,2906
AVGAS,2680
avidaR,3893
AvInertia,2625
aVirtualTwins,2760
avocado,3225
avotrex,2503
aweek,23940
aweSOM,6087
awinR,3311
AWR,3224
AWR.Kinesis,3528
aws.alexa,196992
aws.comprehend,3116
aws.ec2metadata,160273
aws.ecx,3539
aws,13781
aws.iam,8119
aws.kms,2625
aws.lambda,3348
aws.polly,197248
aws.s3,258798
aws.signature,430360
aws.transcribe,2705
aws.translate,2721
aws.wrfsmn,2380
awsMethods,7784
axisandallies,3077
AZIAD,2586
azlogr,3796
AzureAppInsights,4007
AzureAuth,611498
AzureCognitive,9074
AzureContainers,12226
AzureCosmosR,7562
AzureGraph,564482
AzureKeyVault,191406
AzureKusto,30495
azuremlsdk,17122
AzureQstor,7465
AzureRMR,559929
AzureStor,432559
AzureTableStor,7641
AzureVision,8338
AzureVM,9368
AzureVMmetadata,8474
b64,18732
babel,4194
babelgene,73852
babelmixr2,5794
babelwhale,8805
babette,3480
babynames,96441
babynamesIL,3256
BACCO,5646
BACCT,3260
bacistool,3458
backbone,11688
backpipe,2947
backports,6851941
backShift,4071
backtest,4826
backtestGraphics,715
baclava,707
bacondecomp,8222
BACprior,3482
bacr,2635
badgen,2811
badger,11883
baf,1604
baffle,2941
bage,798
bagged.outliertrees,3978
baggingbwsel,1438
baggr,6312
BAGofT,3374
baguette,11133
bagyo,1867
bahc,2660
bain,36661
baizer,106956
bakeoff,3480
bakR,4130
BalanceCheck,2603
BalancedSampling,7927
baldur,2624
Ball,5503
BALLI,2594
BallMapper,2867
BaM,5598
bama,4549
BAMBI,6719
bambooHR,3806
bamdit,6096
bamlss,11846
bamm,3293
BAMMtools,21175
bamp,4469
BANAM,1945
bandicoot,2139
bandit,3263
banditpam,2688
banditsCI,286
bandsfdp,3951
banffIT,4594
bang,14305
bangladesh,2969
bannerCommenter,5349
banR,399
banter,3284
banxicoR,2590
baorista,2569
bapred,3360
BAR,3018
BarBorGradient,2384
barcode,7746
baRcodeR,4817
BarcodingR,3277
BAREB,274
bark,3138
Barnard,4753
barrks,1548
BART,33489
bartCause,6975
bartcs,4407
bartMachine,30349
bartMachineJARs,31014
bartMan,2318
baRulho,4583
BAS,19134
basad,3403
base.rms,8849
base64,57902
base64enc,8844301
base64url,123909
baseballr,14278
basecamb,7275
basedosdados,11585
basefun,22387
baseline,13132
basemaps,12641
basemodels,2932
baseq,4054
BaseSet,4387
BaseTempSeed,8179
basetheme,6800
basf,2796
basicdrm,5992
basicMCMCplots,5521
basicspace,2281
basictabler,6326
basifoR,2652
BASiNET,3409
BASiNETEntropy,3147
BaSkePro,4096
basket,3947
BasketballAnalyzeR,4405
baskexact,3713
basksim,2070
BASS,4638
BaSTA,3961
BAT,16249
batata,3265
batch,4008
BatchExperiments,6196
BatchGetSymbols,13778
BatchJobs,18989
batchmeans,4110
batchmix,4801
batchscr,2308
batchtma,3032
batchtools,30699
bate,2917
batman,2605
batsch,6689
BATSS,1349
batteryreduction,2504
BAwiR,108871
bayclumpr,2656
baycn,7689
bayefdr,3445
Bayenet,2850
bayes4psy,5318
bayesammi,7700
bayesanova,5039
BayesARIMAX,3515
BayesBEKK,3327
BayesBinMix,3546
bayesbio,6318
bayesboot,3978
BayesBP,2853
BayesCACE,4079
BayesCombo,2957
bayescopulareg,2983
bayescount,5039
BayesCR,3524
BayesCTDesign,4053
bayesCureRateModel,1805
BayesCVI,2296
BayesDA,3411
bayesDccGarch,4232
BayesDesign,2821
bayesdfa,13191
BayesDIP,8527
BayesDissolution,3611
bayesdistreg,2764
BayesDLMfMRI,3127
bayesDP,5333
bayesEO,1498
BayesESS,2649
BayesFactor,248658
BayesFBHborrow,4045
BayesFluxR,3082
BayesFM,22500
BayesfMRI,2927
bayesforecast,5865
bayesGARCH,6633
BayesGmed,2884
BayesGOF,3946
BayesGP,825
BayesGPfit,3410
BayesGrowth,2850
BayesGWQS,3317
bayesian,7873
bayesianETAS,3025
BayesianFitForecast,223
Bayesiangammareg,2686
BayesianGLasso,3198
BayesianLaterality,3442
BayesianMCPMod,2376
BayesianMediationA,3565
BayesianNetwork,4501
BayesianPlatformDesignTimeTrend,4554
BayesianPower,3111
BayesianReasoning,3693
BayesianTools,9383
Bayesiantreg,2844
bayesianVARs,5059
bayesImageS,10910
BayesLCA,5139
bayesLife,9263
bayeslist,290
BayesLN,5303
BayesLogit,9567
bayeslongitudinal,3000
bayesm,110346
BayesMallows,11305
bayesMeanScale,5720
bayesmeta,9027
BayesMFSurv,2428
bayesMig,3439
bayesmix,6713
BayesMixSurv,2542
bayesmlogit,7507
BayesMortalityPlus,6538
bayesmove,3905
bayesMRM,3484
BayesMultiMode,4441
BayesMultMeta,2971
bayesnec,5525
BayesNetBP,3981
BayesNSGP,2845
BayesPieceHazSelect,2339
bayesplay,7417
bayesplot,317030
bayespm,2708
bayesPO,3503
bayesPop,8980
BayesPostEst,4049
BayesPPD,5534
BayesPPDSurv,3319
BayesProject,2354
bayesQR,18094
bayesRecon,6022
bayesreg,4959
Bayesrel,9604
BayesRep,2827
BayesRepDesign,2565
BayesRGMM,3371
bayesROE,2892
BayesRS,2915
bayesrules,10916
bayess,4515
BayesS5,2980
BayesSampling,3025
BayesSenMC,3487
BayesSUR,8769
bayesSurv,8116
BayesSurvival,3188
BayesSurvive,2501
bayest,3521
bayestestR,765293
bayesTFR,12463
BayesTools,13661
BayesTree,15124
BayesTreePrior,2606
BayesTwin,2825
BayesVarSel,5531
bayesvl,2638
bayesWatch,3565
BayesX,18529
BayesXsrc,17863
bayesZIB,3926
bayfoxr,2328
baygel,2898
BayLum,4033
bayMDS,3647
baymedr,2961
baystability,7129
BAYSTAR,4168
baytrends,6018
BB,52351
bbdetection,2901
BBEST,4164
BBI,2717
bbk,2561
bbknnR,3956
bbl,4258
BBmisc,137065
bbmix,3219
bbmle,205369
bbnet,1766
bbotk,71761
bbreg,4665
bbw,2848
bc3net,3377
BCA1SG,2352
bcaboot,5056
BCBCSF,3466
bcc,3808
BCC1997,7919
BCClong,2979
bccp,2991
BCDAG,3306
bcdata,9000
BCDating,3549
BcDiag,5915
BCEA,8432
BCEE,4049
bcf,3363
BCgee,2926
BCHM,3606
Bchron,9781
BClustLonG,2742
bcmaps,7654
bcmixed,2712
bcpa,4252
bcputility,6070
BCRA,4137
bcrm,5322
bcROCsurface,4146
bcrypt,9849
BCT,2943
bcv,4067
bda,14245
BDAlgo,2398
bdc,5106
bdDwC,2524
bde,9488
BDEsize,3641
BDgraph,31406
bdl,4177
bdlim,4016
bdlp,2898
bdots,5446
BDP2,2398
bdpar,4244
bdpv,3447
bdrc,3497
bdribs,2763
bdscale,3991
bdsmatrix,479923
bdsvd,2034
BDWreg,3450
BE,5124
bea.R,6542
BEACH,2869
beadplexr,3255
beakr,3449
beam,1121
beanplot,53214
beans,2791
beanz,4361
bearishTrader,3689
beast,2740
beastier,8837
BeastJar,3942
beastt,3577
beautier,6992
beaver,1797
BED,5924
BEDASSLE,4651
BEDMatrix,14808
bedr,9388
BeeBDC,4910
beeca,4043
BeeGUTS,4969
beepr,112492
beeswarm,279527
beezdemand,3250
beezdiscounting,2963
befproj,2679
behaviorchange,5353
behavr,7492
BEKKs,6671
belex,2588
belg,4795
BElikelihood,1960
bellreg,4533
bench,167116
benchden,4482
Benchmarking,27620
benchmarkme,39483
benchmarkmeData,36847
BEND,2162
bender,2439
benford.analysis,8918
benford,3657
BenfordTests,5670
bennu,2729
bentcableAR,4872
benthos,4648
BeQut,2967
Bergm,17807
Bernadette,3363
berryFunctions,27958
bespatial,3720
BeSS,6054
Bessel,155127
bestglm,41224
besthr,3674
Bestie,2900
bestNormalize,34006
BESTree,2492
bestridge,3320
bestSDP,2528
BET,5530
betaBayes,3221
BetaBit,3944
betacal,19513
betaclust,3338
betaDelta,3957
betafunctions,9060
betaMC,4055
betaNB,3427
betapart,28102
BetaPASS,3061
betaper,3264
betareg,129016
betaSandwich,4049
betaselectr,877
betategarch,4292
bethel,2484
bets.covid19,2485
BETS,9910
BetterReg,2623
BeviMed,7069
bexy,2891
BeyondBenford,3788
beyondWhittle,6036
bezier,31004
bfast,15155
bfboinet,768
BFF,4489
BFI,3917
bfp,6740
BFpack,12351
bfpwr,1099
BFS,7631
bfsl,2912
bfsMaps,5045
bfw,4812
BGData,5426
bgev,2021
bgeva,2764
BGFD,4470
BGGE,3188
BGGM,69687
bggum,2540
BGLR,18522
bgmfiles,2493
BGmisc,10093
bgmm,4744
bgms,6636
BGPhazard,4211
bgsmtr,3153
bgumbel,9662
BGVAR,9912
bgw,16812
BH,2937620
BHAI,2282
Bhat,4030
BHH2,13987
bhm,4286
bhmbasket,4189
BHMSMAfMRI,6218
bhpm,2187
BHSBVAR,5177
BI,4772
BiasCorrector,4589
BiasedUrn,137129
bib2df,12131
BiBitR,5472
biblio,7967
bibliometrix,264766
bibliometrixData,93976
biblionetwork,4261
bibliorefer,3310
biblioverlap,2651
BibPlots,5877
bibs,3144
bibtex,80549
BiCausality,3081
biClassify,3302
biclust,35990
BICORN,2276
BiDAG,7330
bidask,5574
BiDimRegression,3776
BIDistances,142
BIEN,25647
BifactorIndicesCalculator,3874
bife,28553
BIFIEsurvey,25649
bifurcatingr,3485
bigalgebra,6690
biganalytics,11437
bigassertr,35534
bigBits,3318
bigD,1617276
bigdatadist,2713
BigDataPE,232
BigDataStatMeth,328
BIGDAWG,5920
bigDM,4659
bigergm,3660
bigGP,1994
BIGL,8368
biglasso,23386
bigleaf,13980
biglm,168913
biglmm,10279
bigMap,2624
bigmatch,4174
bigmds,4178
bigmemory,100174
bigmemory.sri,83215
bignum,10166
bigparallelr,36513
bigQF,3084
BigQuic,4093
bigreadr,22813
bigReg,1465
bigrquery,137160
bigrquerystorage,3714
bigsimr,3419
bigsnpr,18720
bigsparser,18879
bigsplines,6314
bigstatsr,33468
bigstep,4986
bigSurvSGD,2390
bigtabulate,5772
bigtcr,2341
bigtime,4742
bigutilsr,34319
BigVAR,6689
bikeshare14,3796
bikm1,3588
bild,5513
billboard,4847
billboarder,30751
bimets,9456
BimodalIndex,2938
binancer,4664
Binarize,3461
BinarybalancedCut,2393
BinaryDosage,2465
BinaryEMVS,2264
BinaryEPPM,2256
binaryGP,6504
binb,5336
BINCOR,2553
binda,14225
bindata,12826
bindr,29288
bindrcpp,34124
binequality,3006
binford,2345
binfunest,2519
bingadsR,2556
bingat,2815
binGroup,18459
binGroup2,3442
BinGSD,2528
binhf,567701
binman,49801
BinMat,3379
binMto,2864
BinNonNor,3891
BinNor,4055
binom,103281
binomCI,3090
binomialRF,4065
binomialtrend,3187
BinOrdNonNor,3841
binovisualfields,2379
binpackr,2395
binr,6790
BinSegBstrap,3177
binsegRcpp,12806
binseqtest,4189
binsmooth,2869
binspp,3359
binsreg,10118
binst,2588
BINtools,3258
bio.infer,5201
bio3d,25104
bioacoustics,10703
BiObjClass,2186
biobricks,2363
bioC.logs,3189
BioCircos,3906
bioclim,4192
BiocManager,2752994
biocompute,3145
BioCro,1973
Biodem,3627
BiodiversityR,40204
biodosetools,3877
BIOdry,3217
biogas,4629
biogeom,4505
biogram,3708
biogrowth,9801
Bioi,2586
bioimagetools,4035
bioinactivation,3613
BioInsight,3614
biolink,3636
biologicalActivityIndices,2162
BioM2,4326
biomartr,20867
BIOMASS,9123
biometryassist,5423
biomod2,38958
bionetdata,4081
BioPET,2675
BioPETsurv,2406
biopixR,2829
BioPred,3878
BioProbability,3723
bioRad,5843
bioregion,5643
BioRssay,3728
Bios2cor,3093
bios2mds,5264
biosampleR,2495
biosensors.usc,2780
bioseq,5796
biosignalEMG,7144
bioSNR,2437
biospear,2782
biostat3,10536
Biostatistics,4473
BioStatR,9086
biostats101,914
BiostatsUHNplus,2657
biotic,2688
BioTIMEr,1510
biotools,30761
BioVenn,4829
BioVizSeq,615
bipartite,51623
bipartiteD3,4717
BipartiteModularityMaximization,3827
bipd,3990
bipl5,2763
biplotbootGUI,3996
biplotEZ,4074
BiplotGUI,3209
birankr,3158
birdie,3811
birdring,4037
birdscanR,3447
birk,11757
birtr,3089
BIS,1013
biscale,8290
BISdata,4293
BiSEp,3617
bispdep,2658
BisRNA,3015
bistablehistory,3212
bit,7630665
bit64,7592854
bitmexr,3317
bitops,3578604
BiTrinA,3208
bittermelon,6348
Bivariate.Pareto,3042
bivariateLeaflet,166
bivariatemaps,3999
BivGeo,3163
bivgeom,2530
bivpois,3331
BivRec,3343
BivRegBLS,2646
bivrp,2683
BivUnifBin,3551
biwavelet,12844
biwt,3376
bizdays,82247
bizicount,3203
bkmr,11736
bkmrhat,5002
BKTR,8646
BLA,4543
blackbox,16258
blackmarbler,7113
blaise,4114
BlakerCI,13605
BlandAltmanLeh,10807
blandr,9546
blapsr,3107
blaster,4409
blastula,77120
blatent,3473
blatr,1722
blavaan,63584
BLCOP,4427
Blend,226
Blendstat,5606
blindrecalc,3923
blindreview,2858
blink,3272
bliss,4335
blm,5180
blme,57560
blmeco,6014
BLModel,7115
blob,5903167
blockcluster,6563
BlockCov,2464
blockCV,14933
blockForest,3419
blocklength,3733
blockmatrix,2928
BlockMissingData,2459
blockmodeling,15098
BlockmodelingGUI,3139
blockmodels,7023
blockrand,8565
blocksdesign,13905
blockTools,5723
blocs,2715
blogdown,39550
BLOQ,2722
