package,count
AalenJohansen,5717
AATtools,6017
ABACUS,4411
abasequence,4528
abbreviate,11156
abc.data,15116
abc,15394
ABC.RAP,4021
ABCanalysis,11358
abclass,4806
ABCoptim,8750
abcrlda,3760
abctools,6269
abd,17302
abdiv,5915
abe,9228
aberrance,3286
abess,9111
abglasso,4445
ABHgenotypeR,3827
abima,1451
abind,3990891
abjData,5110
abjutils,9347
ablasso,2272
ABM,5237
abn,7397
abnormality,3614
abodOutlier,3557
ABPS,3784
ABRSQOL,1159
abseil,3938
absorber,3124
abstr,4630
abstractr,3482
ABSurvTDC,3717
abtest,10406
abundant,4519
Ac3net,4011
ACA,3550
AcademicThemes,3985
academictwitteR,6290
acc,4490
acca,3783
accelerometry,6724
accelmissing,4098
AccelStab,3329
accept,4652
AcceptanceSampling,13854
AcceptReject,6068
accessibility,8821
accessr,5386
accessrmd,3435
accrual,4463
accrualPlot,4783
accSDA,4590
accucor,6003
accumulate,3930
acdcquery,3214
acdcR,4232
ACDm,5624
ACE.CoCo,3206
ace2fastq,3516
acebayes,5231
aceEditor,3954
ACEP,9507
acepack,66640
ACEsearch,3515
ACEsimFit,3402
ACEt,5483
acfMPeriod,3549
Achilles,5417
acid,6291
acled.api,6577
ACNE,5180
acnr,5806
acopula,4229
acoRn,1045
acp,4765
acro,4387
acroname,3285
acss.data,4057
acss,3848
ACSSpack,1622
ACSWR,5295
act,4911
ACTCD,4218
ActCR,9727
actel,6323
ActFrag,3546
actilifecounts,5921
ActiSleep,1927
activAnalyzer,7503
activatr,3721
ActiveDriver,3233
activegp,4592
ActivePathways,8511
activity,9552
activityCounts,295
ActivityIndex,4430
activPAL,3166
actLifer,8656
actogrammr,3274
actuar,199322
actuaRE,5481
ActuarialM,4161
actuaryr,3727
actxps,5247
AcuityView,3218
acumos,10084
ACV,3360
ACWR,3430
ada,71480
adabag,58133
adace,3477
adagio,22683
adaHuber,3823
adamethods,3691
adana,3926
AdapSamp,3197
adapt4pv,4506
adaptalint,3333
adaptDiag,3823
AdaptGauss,7603
adaptiveGPCA,4377
adaptivetau,9743
adaptIVPT,3527
adaptMCMC,10908
adaptMT,3142
adaptr,4719
ADAPTS,5647
adaptsmoFMRI,3200
adaptTest,9168
adaR,4457
adas.utils,181
AdaSampling,3348
adass,1850
adbcdrivermanager,31230
adbcpostgresql,5384
adbcsqlite,6211
adbi,3702
adc,3665
ADCT,3020
add2ggplot,3990
addhaz,3542
addhazard,7873
addinsJoaoMelo,2983
addinslist,7631
addinsOutline,3104
additive,7170
additivityTests,23034
addreg,3580
ADDT,3239
ade4,446199
ade4TkGUI,19718
adea,5778
adegenet,153700
adegraphics,51713
adehabitatHR,45523
adehabitatHS,11010
adehabitatLT,61297
adehabitatMA,63161
adelie,2050
adephylo,93288
adepro,5291
adept,3408
adeptdata,3545
AdequacyModel,7570
ADER,6100
adespatial,87104
adestr,3258
adfExplorer,5710
adformR,3799
ADGofTest,80634
adheRenceRX,3423
AdhereR,7610
AdhereRViz,6099
adimpro,10439
AdIsMF,1392
adiv,7162
adjclust,6617
adjROC,3994
adjSURVCI,3634
adjustedcranlogs,3960
adjustedCurves,9770
adklakedata,3874
adlift,570677
ADLP,2088
admiral,15278
admiral.test,5342
admiraldev,13942
admiralonco,5121
admiralophtha,4192
admiralpeds,1175
admiralvaccine,3835
admisc,276559
AdMit,6335
admix,5767
admixr,3953
ADMM,7327
admmDensestSubmatrix,3003
admtools,4020
adnuts,3948
adobeanalyticsr,7798
adoptr,5234
ADP,3644
ADPclust,4467
ADPF,3117
adproclus,10520
adpss,4021
ads,7424
adsDataHubR,3332
ADSIHT,174
ADTSA,4325
AdvancedBasketballStats,3690
AdvBinomApps,2962
AdvDif4,3417
adventr,3523
AdverseEvents,1583
ADVICE,3270
adw,3979
adwave,3286
adwordsR,2890
aebdata,2727
aeddo,3336
AEDForecasting,3255
aedseo,3299
AEenrich,3501
aelab,1571
AEP,5103
AER,417670
AeRobiology,5029
AeroSampleR,3545
AF,5339
afc,3491
afcharts,1242
afcolours,3806
afdx,2959
afex,279937
AFFECT,3246
affiner,818
affinity,3809
affinitymatrix,2997
affluenceIndex,3452
AFheritability,3059
afmToolkit,7111
afpt,4066
AFR,4417
africamonitor,19301
aftgee,6710
afthd,3877
aftR2,2885
aftsem,726
afttest,4922
ag5Tools,3784
agcounts,7378
AGD,5283
ageg,3918
agena.ai,3569
ageutils,4279
agfh,3010
agghoo,2989
AggregateR,5255
aggregation,7584
aggTrees,4598
aggutils,2948
AGHmatrix,13854
aghq,4832
aglm,3522
agop,4862
AGPRIS,3580
agRee,4937
AgreementInterval,3089
agricolae,378196
agricolaeplotr,7355
agridat,33205
agrifeature,4115
agriTutorial,4262
agriutilities,5156
agriwater,3844
agrmt,8358
AgroR,13252
AgroReg,6150
agrostab,3004
AgroTech,4319
ags,2547
agtboost,4136
agua,12101
agvgd,3574
ahaz,10555
AHM,2940
AHMbook,6683
ahMLE,4483
ahnr,3254
AhoCorasickTrie,3749
AHPGaussian,3196
AHPhybrid,3418
AHPtools,7200
ahptopsis2n,3494
AHPWR,4319
AHSurv,2909
ai,547
aIc,3682
AICcmodavg,118354
AID,28389
aifeducation,4112
AIFFtools,928
aihuman,3170
aimPlot,2878
aimsir17,3077
aion,6109
AIPW,5587
air,4270
aire.zmvm,6806
AirExposure,948
airGR,20989
airGRdatasets,6401
airGRdatassim,6460
airGRiwrm,10885
airGRteaching,15904
aiRly,2850
AirMonitor,5397
airnow,2667
airportr,4672
airports,64105
airqualityES,8745
airr,16533
airship,312
airt,4601
aiRthermo,4133
AIscreenR,714
aisoph,2828
AIUQ,3632
ajv,3345
aka,1319
akc,5439
Ake,4149
akiFlagger,4204
akima,68389
akmbiclust,3465
alabama,75671
alakazam,19013
alarmdata,2736
ALassoSurvIC,3760
albatross,5063
aLBI,2242
albopictus,3300
alcyon,2240
ald,5119
ALDqr,3665
aldvmm,4402
ale,3758
ALFAM2,2472
aLFQ,5150
alfr,3378
alfred,7624
algaeClassify,108965
AlgDesign,271727
AlgebraicHaploPackage,2954
algo,2964
algorithmia,3637
aliases2entrez,4443
alien,4585
align,3806
AlignLV,746
alkahest,3583
allcontributors,6351
alleHap,3430
allelematch,5765
AlleleRetain,3377
AlleleShift,4295
AllelicSeries,4280
allestimates,4304
AllMetrics,5239
allMT,3115
allofus,9377
allomr,5209
Allspice,4552
ALLSPICER,666
alluvial,52468
almanac,5473
alone,4013
alookr,4007
aloom,3037
alpaca,20666
alpha.correction.bh,3450
alphabetr,2804
alphahull,27619
alphaN,3044
alphaOutlier,3434
AlphaPart,6323
alphashape3d,28043
AlphaSimR,13247
alphastable,3343
alphavantager,194635
alqrfe,3479
alr4,83222
ALS,5000
ALSCPC,2837
altadata,3004
altair,5647
altdoc,24567
AlteredPQR,3769
altfuelr,3892
altmeta,5872
ALTopt,3238
altR2,3201
ALUES,2931
amadeus,2249
amanida,4937
amanpg,3611
amap,72914
amapGeocode,4296
amapro,2910
AMAPVox,5986
amazonadsR,3122
amazons3R,3370
amazonspR,3361
amberr,3062
ambient,13868
ambiorix,925
ambit,3024
AMCP,5248
AMCTestmakeR,2913
Amelia,117636
amelie,3064
amen,6832
amerifluxr,3861
amerika,4054
AmesHousing,30748
ami,5638
AmigaFFH,8253
AMIM,3790
ammiBayes,4028
ammistability,9254
AMModels,3434
AmmoniaConcentration,2766
aMNLFA,4377
AmoudSurv,3409
amp,3160
ampd,2868
AmpGram,2802
ampir,3747
AMPLE,4559
AmpliconDuo,3169
AMR,22154
amregtest,2054
amscorer,1396
amt,15462
amVennDiagram5,1419
AmyloGram,2947
anabel,3393
AnaCoDa,4141
Anaconda,6218
anacor,6643
analogsea,12603
analogue,11307
AnalyzeFMRI,4498
analyzer,3825
AnanseSeurat,9363
AncestryMapper,3252
AnchorRegression,3503
and,6165
andrews,14028
Andromeda,20080
anesrake,16134
AnglerCreelSurveySimulation,3675
angstromATE,1554
angstroms,2845
aniDom,4359
anim.plots,3454
animalEKF,3771
AnimalSequences,833
animate,3964
animation,80072
animbook,2899
animint2,7222
animl,3275
anipaths,5955
aniSNA,3923
aniview,2728
anMC,10214
ANN2,7257
anndata,26974
annmatrix,2514
AnnoProbe,14758
annotater,4475
AnnotationBustR,4167
annotator,3492
AnnuityRIR,7320
anocva,5414
ANOFA,3034
anoint,1377
ANOM,3479
anomalize,179770
anomaly,6307
AnomalyScore,735
anominate,887
anomo,780
ANOPA,2421
ANOVAIREVA,3697
ANOVAShiny,3453
ANOVAShiny2,3014
anovir,2692
anscombiser,3374
ANSM5,3254
AntAngioCOOL,2685
antaresEditObject,6626
antaresProcessing,5450
antaresRead,11147
antaresViz,5998
anthro,9977
anthroplus,6024
AnthropMMD,6623
Anthropometry,6997
AntibodyTiters,3650
anticlust,14063
antitrust,6314
antiword,68695
AnxietySleep,3916
anybadger,2667
anyflights,6753
anyLib,3767
anytime,1178883
ao,7918
AOboot,879
aod,117160
aods3,10135
aoos,7823
aopdata,6209
Aoptbdtvc,3371
aoristic,4201
aorsf,16692
aos,2665
AOV1R,4587
AovBay,4014
apa,10355
apache.sedona,6599
ApacheLogProcessor,3446
APackOfTheClones,4746
apaTables,64229
apaText,3462
apc,4454
APCalign,3721
APCanalysis,7463
apcf,7045
APCI,6289
apcluster,37534
aPCoA,4030
APCtools,4504
apdesign,6643
ape,1045016
apercu,9323
apex,8345
apexcharter,11416
APFr,2941
aphid,6283
aphylo,3903
api2lm,3917
APIS,6208
apisensr,3518
aplore3,10596
aplot,388229
aplotExtra,3308
aplpack,160012
apmx,2824
apng,2870
Apoderoides,3357
apollo,31592
appeears,3171
APPEstimation,2758
appleadsR,3322
applicable,8281
AppliedPredictiveModeling,44894
appnn,2706
apportion,3114
appRiori,3513
approximator,4526
approxmatch,2905
approxOT,4288
appsflyeR,3152
appsheet,2721
aprean3,3145
aprof,5306
apsimx,9577
apt,5140
APtools,3329
apyramid,10364
AQEval,3851
aqfig,2021
AQLSchemes,3896
aqp,26717
AquaAnalytix,1046
AquaBEHER,2973
AQuadtree,3999
AquaEnv,4149
AQuality,2425
AquaticLifeHistory,3388
aquodom,3763
AR,7184
ar.matrix,2680
arabic2kansuji,5358
arabicStemR,4874
arakno,4043
ArArRedux,2801
arc,4547
ARCensReg,4226
arcgeocoder,7935
arcgis,2612
arcgisgeocode,3699
arcgislayers,7552
arcgisplaces,1916
arcgisutils,10777
ArchaeoPhases.dataset,4120
ArchaeoPhases,6359
archdata,366953
archeofrag,3910
archeoViz,4624
archetypal,3730
archetyper,3147
archetypes,5635
archiDART,4249
archive,94234
archiveRetriever,6920
archivist,8214
ArCo,7097
ARCokrig,3033
arcpbf,6869
arcpullr,6142
arcpy,2336
arctools,5056
ArDec,5865
ARDECO,2847
ARDL,18637
ardl.nardl,5279
ards,2725
area,3042
areabiplot,2940
areal,17640
arealDB,3306
areaplot,6673
arenar,2938
arf,4253
arfima,10789
Argentum,734
argo,3883
argoFloats,3414
argonDash,6596
argonR,6444
ARGOS,8232
argosfilter,5976
argparse,49724
argparser,22921
argus,3130
ARHT,2499
ari,3915
ARIbrain,3184
aricode,17957
AriGaMyANNSVR,8912
arima2,6234
ARIMAANN,3631
arkdb,7029
arkhe,10950
arlclustering,810
arm,430768
ARMALSTM,2514
armspp,3045
aroma.affymetrix,10120
aroma.apd,6332
aroma.cn,5769
aroma.core,11304
Arothron,5150
ARPobservation,3696
arpr,4489
aRpsDCA,3404
arrangements,60029
arrApply,4155
arrayhelpers,57955
arrg,693
arrow,2957901
arrowheadr,3908
ars,8083
arse,2493
arsenal,86606
ART,3155
arthistory,2489
ARTofR,3852
ARTool,18647
artpack,3088
aRtsy,7266
ARTtransfer,1173
arules,306896
arulesCBA,25700
arulesNBMiner,4059
arulesSequences,13278
arulesViz,157462
ARUtools,2181
aRxiv,10853
asaur,8112
asbio,39294
